From	To	Species	Gene Name
TMEM119	ENSMUST00000067853	Mus musculus	transmembrane protein 119(Tmem119)
DOCK6	ENSMUST00000034728	Mus musculus	dedicator of cytokinesis 6(Dock6)
DOCK8	ENSMUST00000025831	Mus musculus	dedicator of cytokinesis 8(Dock8)
SLC2A2	ENSMUST00000163536	Mus musculus	solute carrier family 2 (facilitated glucose transporter), member 2(Slc2a2)
SLC2A2	ENSMUST00000169047	Mus musculus	solute carrier family 2 (facilitated glucose transporter), member 2(Slc2a2)
SLC2A2	ENSMUST00000029240	Mus musculus	solute carrier family 2 (facilitated glucose transporter), member 2(Slc2a2)
USP39	ENSMUST00000154799	Mus musculus	ubiquitin specific peptidase 39(Usp39)
USP39	ENSMUST00000070345	Mus musculus	ubiquitin specific peptidase 39(Usp39)
USP39	ENSMUST00000206262	Mus musculus	ubiquitin specific peptidase 39(Usp39)
SLC2A6	ENSMUST00000045702	Mus musculus	solute carrier family 2 (facilitated glucose transporter), member 6(Slc2a6)
SLC2A6	ENSMUST00000129835	Mus musculus	solute carrier family 2 (facilitated glucose transporter), member 6(Slc2a6)
SLC2A6	ENSMUST00000102890	Mus musculus	solute carrier family 2 (facilitated glucose transporter), member 6(Slc2a6)
SLC2A6	ENSMUST00000153388	Mus musculus	solute carrier family 2 (facilitated glucose transporter), member 6(Slc2a6)
SLC2A6	ENSMUST00000145742	Mus musculus	solute carrier family 2 (facilitated glucose transporter), member 6(Slc2a6)
SLC2A6	ENSMUST00000135725	Mus musculus	solute carrier family 2 (facilitated glucose transporter), member 6(Slc2a6)
CXCL5	ENSMUST00000202380	Mus musculus	chemokine (C-X-C motif) ligand 5(Cxcl5)
CXCL5	ENSMUST00000031318	Mus musculus	chemokine (C-X-C motif) ligand 5(Cxcl5)
GMPPB	ENSMUST00000047947	Mus musculus	GDP-mannose pyrophosphorylase B(Gmppb)
GMPPB	ENSMUST00000145330	Mus musculus	GDP-mannose pyrophosphorylase B(Gmppb)
GMPPB	ENSMUST00000112295	Mus musculus	GDP-mannose pyrophosphorylase B(Gmppb)
GMPPB	ENSMUST00000150700	Mus musculus	GDP-mannose pyrophosphorylase B(Gmppb)
GMPPB	ENSMUST00000137284	Mus musculus	GDP-mannose pyrophosphorylase B(Gmppb)
HPF1	ENSMUST00000149267	Mus musculus	histone PARylation factor 1(Hpf1)
HPF1	ENSMUST00000136098	Mus musculus	histone PARylation factor 1(Hpf1)
HPF1	ENSMUST00000146863	Mus musculus	histone PARylation factor 1(Hpf1)
HPF1	ENSMUST00000037190	Mus musculus	histone PARylation factor 1(Hpf1)
HPF1	ENSMUST00000134886	Mus musculus	histone PARylation factor 1(Hpf1)
FLOT1	ENSMUST00000174227	Mus musculus	flotillin 1(Flot1)
FLOT1	ENSMUST00000173337	Mus musculus	flotillin 1(Flot1)
FLOT1	ENSMUST00000174080	Mus musculus	flotillin 1(Flot1)
FLOT1	ENSMUST00000173147	Mus musculus	flotillin 1(Flot1)
FLOT1	ENSMUST00000172846	Mus musculus	flotillin 1(Flot1)
FLOT1	ENSMUST00000173273	Mus musculus	flotillin 1(Flot1)
FLOT1	ENSMUST00000173493	Mus musculus	flotillin 1(Flot1)
FLOT1	ENSMUST00000001569	Mus musculus	flotillin 1(Flot1)
FLOT1	ENSMUST00000174297	Mus musculus	flotillin 1(Flot1)
FLOT1	ENSMUST00000173381	Mus musculus	flotillin 1(Flot1)
FLOT1	ENSMUST00000173628	Mus musculus	flotillin 1(Flot1)
SPEG	ENSMUST00000087122	Mus musculus	SPEG complex locus(Speg)
SPEG	ENSMUST00000122266	Mus musculus	SPEG complex locus(Speg)
SPEG	ENSMUST00000137868	Mus musculus	SPEG complex locus(Speg)
SPEG	ENSMUST00000132228	Mus musculus	SPEG complex locus(Speg)
SPEG	ENSMUST00000113589	Mus musculus	SPEG complex locus(Speg)
SPEG	ENSMUST00000187214	Mus musculus	SPEG complex locus(Speg)
SPEG	ENSMUST00000113588	Mus musculus	SPEG complex locus(Speg)
SPEG	ENSMUST00000113587	Mus musculus	SPEG complex locus(Speg)
SPEG	ENSMUST00000132222	Mus musculus	SPEG complex locus(Speg)
SPEG	ENSMUST00000113590	Mus musculus	SPEG complex locus(Speg)
SPEG	ENSMUST00000148515	Mus musculus	SPEG complex locus(Speg)
SPEG	ENSMUST00000125118	Mus musculus	SPEG complex locus(Speg)
SPEG	ENSMUST00000143679	Mus musculus	SPEG complex locus(Speg)
SPEG	ENSMUST00000125306	Mus musculus	SPEG complex locus(Speg)
SPEG	ENSMUST00000146705	Mus musculus	SPEG complex locus(Speg)
TMEM109	ENSMUST00000138897	Mus musculus	transmembrane protein 109(Tmem109)
TMEM109	ENSMUST00000144681	Mus musculus	transmembrane protein 109(Tmem109)
TMEM109	ENSMUST00000147699	Mus musculus	transmembrane protein 109(Tmem109)
TMEM109	ENSMUST00000151355	Mus musculus	transmembrane protein 109(Tmem109)
TMEM109	ENSMUST00000038128	Mus musculus	transmembrane protein 109(Tmem109)
TMEM109	ENSMUST00000133303	Mus musculus	transmembrane protein 109(Tmem109)
